PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,similarity,method_type,methods_used
36374004,Examining the Use of an Artificial Intelligence Model to Diagnose Influenza: Development and Validation Study,"Okiyama S, Fukuda M, Sode M, Takahashi W, Ikeda M, Kato H, Tsugawa Y, Iwagami M.",J Med Internet Res. 2022 Dec 23;24(12):e38751. doi: 10.2196/38751.,Okiyama S,J Med Internet Res,2022,2022/11/14,PMC9823578,,10.2196/38751,"BACKGROUND: The global burden of influenza is substantial. It is a major disease that causes annual epidemics and occasionally, pandemics. Given that influenza primarily infects the upper respiratory system, it may be possible to diagnose influenza infection by applying deep learning to pharyngeal images.
OBJECTIVE: We aimed to develop a deep learning model to diagnose influenza infection using pharyngeal images and clinical information.
METHODS: We recruited patients who visited clinics and hospitals because of influenza-like symptoms. In the training stage, we developed a diagnostic prediction artificial intelligence (AI) model based on deep learning to predict polymerase chain reaction (PCR)-confirmed influenza from pharyngeal images and clinical information. In the validation stage, we assessed the diagnostic performance of the AI model. In additional analysis, we compared the diagnostic performance of the AI model with that of 3 physicians and interpreted the AI model using importance heat maps.
RESULTS: We enrolled a total of 7831 patients at 64 hospitals between November 1, 2019, and January 21, 2020, in the training stage and 659 patients (including 196 patients with PCR-confirmed influenza) at 11 hospitals between January 25, 2020, and March 13, 2020, in the validation stage. The area under the receiver operating characteristic curve for the AI model was 0.90 (95% CI 0.87-0.93), and its sensitivity and specificity were 76% (70%-82%) and 88% (85%-91%), respectively, outperforming 3 physicians. In the importance heat maps, the AI model often focused on follicles on the posterior pharyngeal wall.
CONCLUSIONS: We developed the first AI model that can accurately diagnose influenza from pharyngeal images, which has the potential to help physicians to make a timely diagnosis.",0.10492359070205962,computer vision,Unknown
36355921,Application of machine learning for multi-community COVID-19 outbreak predictions with wastewater surveillance,"Ai Y, He F, Lancaster E, Lee J.",PLoS One. 2022 Nov 10;17(11):e0277154. doi: 10.1371/journal.pone.0277154. eCollection 2022.,Ai Y,PLoS One,2022,2022/11/10,PMC9648834,,10.1371/journal.pone.0277154,"The potential of wastewater-based epidemiology (WBE) as a surveillance and early warning tool for the COVID-19 outbreak has been demonstrated. For areas with limited testing capacity, wastewater surveillance can provide information on the disease dynamic at a community level. A predictive model is a key to generating quantitative estimates of the infected population. Modeling longitudinal wastewater data can be challenging as biomarkers in wastewater are susceptible to variations caused by multiple factors associated with the wastewater matrix and the sewersheds characteristics. As WBE is an emerging trend, the model should be able to address the uncertainties of wastewater from different sewersheds. We proposed exploiting machine learning and deep learning techniques, which are supported by the growing WBE data. In this article, we reviewed the existing predictive models, among which the emerging machine learning/deep learning models showed great potential. However, most models are built for individual sewersheds with few features extracted from the wastewater. To fulfill the research gap, we compared different time-series and non-time-series models for their short-term predictive performance of COVID-19 cases in 9 diverse sewersheds. The time-series models, long short-term memory (LSTM) and Prophet, outcompeted the non-time-series models. Besides viral (SARS-CoV-2) loads and location identity, domain-specific features like biochemical parameters of wastewater, geographical parameters of the sewersheds, and some socioeconomic parameters of the communities can contribute to the models. With proper feature engineering and hyperparameter tuning, we believe machine learning models like LSTM can be a feasible solution for the COVID-19 trend prediction via WBE. Overall, this is a proof-of-concept study on the application of machine learning in COVID-19 WBE. Future studies are needed to deploy and maintain the model in more real-world applications.",0.1043406569536828,other,LSTM
36352317,Evaluating the difference in walk patterns among normal-weight and overweight/obese individuals in real-world surfaces using statistical analysis and deep learning methods with inertial measurement unit data,"Sikandar T, Rabbi MF, Ghazali KH, Altwijri O, Almijalli M, Ahamed NU.",Phys Eng Sci Med. 2022 Dec;45(4):1289-1300. doi: 10.1007/s13246-022-01195-3. Epub 2022 Nov 9.,Sikandar T,Phys Eng Sci Med,2022,2022/11/09,,,10.1007/s13246-022-01195-3,"Unusual walk patterns may increase individuals' risks of falling. Anthropometric features of the human body, such as the body mass index (BMI), influences the walk patterns of individuals. In addition to the BMI, uneven walking surfaces may cause variations in the usual walk patterns of an individual that will potentially increase the individual's risk of falling. The objective of this study was to statistically evaluate the variations in the walk patterns of individuals belonging to two BMI groups across a wide range of walking surfaces and to investigate whether a deep learning method could classify the BMI-specific walk patterns with similar variations. Data collected by wearable inertial measurement unit (IMU) sensors attached to individuals with two different BMI were collected while walking on real-world surfaces. In addition to traditional statistical analysis tools, an advanced deep learning-based neural network was used to evaluate and classify the BMI-specific walk patterns. The walk patterns of overweight/obese individuals showed a greater correlation with the corresponding walking surfaces than the normal-weight population. The results were supported by the deep learning method, which was able to classify the walk patterns of overweight/obese (94.8 ± 4.5%) individuals more accurately than those of normal-weight (59.4 ± 23.7%) individuals. The results suggest that application of the deep learning method is more suitable for recognizing the walk patterns of overweight/obese population than those of normal-weight individuals. The findings from the study will potentially inform healthcare applications, including artificial intelligence-based fall assessment systems for minimizing the risk of fall-related incidents among overweight and obese individuals.",0.10954705568123924,other,Unknown
36351358,Deep learning-based diagnostic model for predicting complications after gastrectomy,"Fukuyo R, Tokunaga M, Umebayashi Y, Saito T, Okuno K, Sato Y, Saito K, Fujiwara N, Kinugasa Y.",Asian J Endosc Surg. 2023 Apr;16(2):210-217. doi: 10.1111/ases.13138. Epub 2022 Nov 9.,Fukuyo R,Asian J Endosc Surg,2023,2022/11/09,,,10.1111/ases.13138,"BACKGROUND: Gastric cancer is one of the leading causes of cancer deaths, and gastrectomy with lymph node dissection is the mainstay of treatment. Despite clinician efforts and advances in surgical methods, the incidence of complications after gastrectomy remains 10%-20% including fatalities. To the best of our knowledge, this is the first report on utilization of a deep learning method to build a new artificial intelligence model that could help surgeons diagnose these complications.
METHODS: A neural network was constructed with a total of 4000 variables. Clinical, surgical, and pathological data of patients who underwent radical gastrectomy at our institute were collected to maintain a deep learning model. We optimized the parameters of the neural network to diagnose whether these patients would develop complications after gastrectomy or not.
RESULTS: Seventy percent of the data was used to optimize the neural network parameters, and the rest was used to validate the model. A model that maximized the receiver operating characteristics (ROC) area under the curve (AUC) for validation of the data was extracted. The ROC-AUC, sensitivity, and specificity of the model to diagnose all complications were 0.8 vs 0.7, 81% vs 50%, and 69% vs 75%, for the teaching and validation data, respectively.
CONCLUSIONS: A predictive model for postoperative complications after radical gastrectomy was successfully constructed using the deep learning method. This model can help surgeons accurately predict the incidence of complications on postoperative day 3.",0.13587213244310398,other,Unknown
36280773,Survival analysis of localized prostate cancer with deep learning,"Dai X, Park JH, Yoo S, D'Imperio N, McMahon BH, Rentsch CT, Tate JP, Justice AC.",Sci Rep. 2022 Oct 24;12(1):17821. doi: 10.1038/s41598-022-22118-y.,Dai X,Sci Rep,2022,2022/10/25,PMC9592586,,10.1038/s41598-022-22118-y,"In recent years, data-driven, deep-learning-based models have shown great promise in medical risk prediction. By utilizing the large-scale Electronic Health Record data found in the U.S. Department of Veterans Affairs, the largest integrated healthcare system in the United States, we have developed an automated, personalized risk prediction model to support the clinical decision-making process for localized prostate cancer patients. This method combines the representative power of deep learning and the analytical interpretability of parametric regression models and can implement both time-dependent and static input data. To collect a comprehensive evaluation of model performances, we calculate time-dependent C-statistics [Formula: see text] over 2-, 5-, and 10-year time horizons using either a composite outcome or prostate cancer mortality as the target event. The composite outcome combines the Prostate-Specific Antigen (PSA) test, metastasis, and prostate cancer mortality. Our longitudinal model Recurrent Deep Survival Machine (RDSM) achieved [Formula: see text] 0.85 (0.83), 0.80 (0.83), and 0.76 (0.81), while the cross-sectional model Deep Survival Machine (DSM) attained [Formula: see text] 0.85 (0.82), 0.80 (0.82), and 0.76 (0.79) for the 2-, 5-, and 10-year composite (mortality) outcomes, respectively. In addition to estimating the survival probability, our method can quantify the uncertainty associated with the prediction. The uncertainty scores show a consistent correlation with the prediction accuracy. We find PSA and prostate cancer stage information are the most important indicators in risk prediction. Our work demonstrates the utility of the data-driven machine learning model in prostate cancer risk prediction, which can play a critical role in the clinical decision system.",0.15311666240042957,other,Unknown
36263000,Deconstruction of Risk Prediction of Ischemic Cardiovascular and Cerebrovascular Diseases Based on Deep Learning,"Xu Y, Meng L.",Contrast Media Mol Imaging. 2022 Sep 30;2022:8478835. doi: 10.1155/2022/8478835. eCollection 2022.,Xu Y,Contrast Media Mol Imaging,2022,2022/10/20,PMC9546720,,10.1155/2022/8478835,"Over the years, with the widespread use of computer technology and the dramatic increase in electronic medical data, data-driven approaches to medical data analysis have emerged. However, the analysis of medical data remains challenging due to the mixed nature of the data, the incompleteness of many records, and the high level of noise. This paper proposes an improved neural network DBN-LSTM that combines a deep belief network (DBN) with a long short-term memory (LSTM) network. The subset of feature attributes processed by CFS-EGA is used for training, and the optimal selection test of the number of hidden layers is performed on the upper DBN in the process of training DBN-LSTM. At the same time, the validation set is combined to determine the hyperparameters of the LSTM. Construct the DNN, CNN, and long short-term memory (LSTM) network for comparative analysis with DBN-LSTM. Use the classification method to compare the average of the final results of the two experiments. The results show that the prediction accuracy of DBN-LSTM for cardiovascular and cerebrovascular diseases reaches 95.61%, which is higher than the three traditional neural networks.",0.13224700898404868,computer vision,"CNN, LSTM"
36260674,Deep learning and social network analysis elucidate drivers of HIV transmission in a high-incidence cohort of people who inject drugs,"Clipman SJ, Mehta SH, Mohapatra S, Srikrishnan AK, Zook KJC, Duggal P, Saravanan S, Nandagopal P, Kumar MS, Lucas GM, Latkin CA, Solomon SS.",Sci Adv. 2022 Oct 21;8(42):eabf0158. doi: 10.1126/sciadv.abf0158. Epub 2022 Oct 19.,Clipman SJ,Sci Adv,2022,2022/10/19,PMC9581475,,10.1126/sciadv.abf0158,"Globally, people who inject drugs (PWID) experience some of the fastest-growing HIV epidemics. Network-based approaches represent a powerful tool for understanding and combating these epidemics; however, detailed social network studies are limited and pose analytical challenges. We collected longitudinal social (injection partners) and spatial (injection venues) network information from 2512 PWID in New Delhi, India. We leveraged network analysis and graph neural networks (GNNs) to uncover factors associated with HIV transmission and identify optimal intervention delivery points. Longitudinal HIV incidence was 21.3 per 100 person-years. Overlapping community detection using GNNs revealed seven communities, with HIV incidence concentrated within one community. The injection venue most strongly associated with incidence was found to overlap six of the seven communities, suggesting that an intervention deployed at this one location could reach the majority of the sample. These findings highlight the utility of network analysis and deep learning in HIV program design.",0.15710116643650762,other,Unknown
36231500,Validation and Improvement of a Convolutional Neural Network to Predict the Involved Pathology in a Head and Neck Surgery Cohort,"Culié D, Schiappa R, Contu S, Scheller B, Villarme A, Dassonville O, Poissonnet G, Bozec A, Chamorey E.",Int J Environ Res Public Health. 2022 Sep 26;19(19):12200. doi: 10.3390/ijerph191912200.,Culié D,Int J Environ Res Public Health,2022,2022/10/14,PMC9564535,,10.3390/ijerph191912200,"The selection of patients for the constitution of a cohort is a major issue for clinical research (prospective studies and retrospective studies in real life). Our objective was to validate in real life conditions the use of a Deep Learning process based on a neural network, for the classification of patients according to the pathology involved in a head and neck surgery department. 24,434 Electronic Health Records (EHR) from the first visit between 2000 and 2020 were extracted. More than 6000 EHR were manually classified in ten groups of interest according to the reason for consultation with a clinical relevance. A convolutional neural network (TensorFlow, previously reported by Hsu et al.) was then used to predict the group of patients based on their pathology, using two levels of classification based on clinically relevant criteria. On the first and second level of classification, macro-average performances were: 0.95, 0.83, 0.85, 0.97, 0.84 and 0.93, 0.76, 0.83, 0.96, 0.79 for accuracy, recall, precision, specificity and F1-score versus accuracy, recall and precision of 0.580, 580 and 0.582 for Hsu et al., respectively. We validated this model to predict the pathology involved and to constitute clinically relevant cohorts in a tertiary hospital. This model did not require a preprocessing stage, was used in French and showed equivalent or better performances than other already published techniques.",0.10983171580768183,computer vision,Unknown
36229252,Predicting rare outcomes in abdominal wall reconstruction using image-based deep learning models,"Ayuso SA, Elhage SA, Zhang Y, Aladegbami BG, Gersin KS, Fischer JP, Augenstein VA, Colavita PD, Heniford BT.",Surgery. 2023 Mar;173(3):748-755. doi: 10.1016/j.surg.2022.06.048. Epub 2022 Oct 11.,Ayuso SA,Surgery,2023,2022/10/13,,,10.1016/j.surg.2022.06.048,"BACKGROUND: Deep learning models with imbalanced data sets are a challenge in the fields of artificial intelligence and surgery. The aim of this study was to develop and compare deep learning models that predict rare but devastating postoperative complications after abdominal wall reconstruction.
METHODS: A prospectively maintained institutional database was used to identify abdominal wall reconstruction patients with preoperative computed tomography scans. Conventional deep learning models were developed using an 8-layer convolutional neural network and a 2-class training system (ie, learns negative and positive outcomes). Conventional deep learning models were compared to deep learning models that were developed using a generative adversarial network anomaly framework, which uses image augmentation and anomaly detection. The primary outcomes were receiver operating characteristic values for predicting mesh infection and pulmonary failure.
RESULTS: Computed tomography scans from 510 patients were used with a total of 10,004 images. Mesh infection and pulmonary failure occurred in 3.7% and 5.6% of patients, respectively. The conventional deep learning models were less effective than generative adversarial network anomaly for predicting mesh infection (receiver operating characteristic 0.61 vs 0.73, P < .01) and pulmonary failure (receiver operating characteristic 0.59 vs 0.70, P < .01). Although the conventional deep learning models had higher accuracies/specificities for predicting mesh infection (0.93 vs 0.78, P < .01/.96 vs .78, P < .01) and pulmonary failure (0.88 vs 0.68, P < .01/.92 vs .67, P < .01), they were substantially compromised by decreased model sensitivity (0.25 vs 0.68, P < .01/.27 vs .73, P < .01).
CONCLUSION: Compared to conventional deep learning models, generative adversarial network anomaly deep learning models showed improved performance on imbalanced data sets, predominantly by increasing model sensitivity. Understanding patients who are at risk for rare but devastating postoperative complications can improve risk stratification, resource utilization, and the consent process.",0.28910674518442736,computer vision,Unknown
36220099,Challenges for machine learning in clinical translation of big data imaging studies,"Dinsdale NK, Bluemke E, Sundaresan V, Jenkinson M, Smith SM, Namburete AIL.",Neuron. 2022 Dec 7;110(23):3866-3881. doi: 10.1016/j.neuron.2022.09.012. Epub 2022 Oct 10.,Dinsdale NK,Neuron,2022,2022/10/11,,,10.1016/j.neuron.2022.09.012,"Combining deep learning image analysis methods and large-scale imaging datasets offers many opportunities to neuroscience imaging and epidemiology. However, despite these opportunities and the success of deep learning when applied to a range of neuroimaging tasks and domains, significant barriers continue to limit the impact of large-scale datasets and analysis tools. Here, we examine the main challenges and the approaches that have been explored to overcome them. We focus on issues relating to data availability, interpretability, evaluation, and logistical challenges and discuss the problems that still need to be tackled to enable the success of ""big data"" deep learning approaches beyond research.",0.24858205514399284,computer vision,Unknown
36201237,Machine learning in sudden cardiac death risk prediction: a systematic review,"Barker J, Li X, Khavandi S, Koeckerling D, Mavilakandy A, Pepper C, Bountziouka V, Chen L, Kotb A, Antoun I, Mansir J, Smith-Byrne K, Schlindwein FS, Dhutia H, Tyukin I, Nicolson WB, Ng GA.",Europace. 2022 Nov 22;24(11):1777-1787. doi: 10.1093/europace/euac135.,Barker J,Europace,2022,2022/10/06,,,10.1093/europace/euac135,"AIMS: Most patients who receive implantable cardioverter defibrillators (ICDs) for primary prevention do not receive therapy during the lifespan of the ICD, whilst up to 50% of sudden cardiac death (SCD) occur in individuals who are considered low risk by conventional criteria. Machine learning offers a novel approach to risk stratification for ICD assignment.
METHODS AND RESULTS: Systematic search was performed in MEDLINE, Embase, Emcare, CINAHL, Cochrane Library, OpenGrey, MedrXiv, arXiv, Scopus, and Web of Science. Studies modelling SCD risk prediction within days to years using machine learning were eligible for inclusion. Transparency and quality of reporting (TRIPOD) and risk of bias (PROBAST) were assessed. A total of 4356 studies were screened with 11 meeting the inclusion criteria with heterogeneous populations, methods, and outcome measures preventing meta-analysis. The study size ranged from 122 to 124 097 participants. Input data sources included demographic, clinical, electrocardiogram, electrophysiological, imaging, and genetic data ranging from 4 to 72 variables per model. The most common outcome metric reported was the area under the receiver operator characteristic (n = 7) ranging between 0.71 and 0.96. In six studies comparing machine learning models and regression, machine learning improved performance in five. No studies adhered to a reporting standard. Five of the papers were at high risk of bias.
CONCLUSION: Machine learning for SCD prediction has been under-applied and incorrectly implemented but is ripe for future investigation. It may have some incremental utility in predicting SCD over traditional models. The development of reporting standards for machine learning is required to improve the quality of evidence reporting in the field.",0.10167382273691028,other,Unknown
36149852,Comparison of Deep Learning and Classical Machine Learning Algorithms to Predict Postoperative Outcomes for Anterior Cervical Discectomy and Fusion Procedures With State-of-the-art Performance,"Rodrigues AJ, Schonfeld E, Varshneya K, Stienen MN, Staartjes VE, Jin MC, Veeravagu A.",Spine (Phila Pa 1976). 2022 Dec 1;47(23):1637-1644. doi: 10.1097/BRS.0000000000004481. Epub 2022 Sep 21.,Rodrigues AJ,Spine (Phila Pa 1976),2022,2022/09/23,,,10.1097/BRS.0000000000004481,"STUDY DESIGN: Retrospective cohort.
OBJECTIVE: Due to anterior cervical discectomy and fusion (ACDF) popularity, it is important to predict postoperative complications, unfavorable 90-day readmissions, and two-year reoperations to improve surgical decision-making, prognostication, and planning.
SUMMARY OF BACKGROUND DATA: Machine learning has been applied to predict postoperative complications for ACDF; however, studies were limited by sample size and model type. These studies achieved ≤0.70 area under the curve (AUC). Further approaches, not limited to ACDF, focused on specific complication types and resulted in AUC between 0.70 and 0.76.
MATERIALS AND METHODS: The IBM MarketScan Commercial Claims and Encounters Database and Medicare Supplement were queried from 2007 to 2016 to identify adult patients who underwent an ACDF procedure (N=176,816). Traditional machine learning algorithms, logistic regression, and support vector machines, were compared with deep neural networks to predict: 90-day postoperative complications, 90-day readmission, and two-year reoperation. We further generated random deep learning model architectures and trained them on the 90-day complication task to approximate an upper bound. Last, using deep learning, we investigated the importance of each input variable for the prediction of 90-day postoperative complications in ACDF.
RESULTS: For the prediction of 90-day complication, 90-day readmission, and two-year reoperation, the deep neural network-based models achieved AUC of 0.832, 0.713, and 0.671. Logistic regression achieved AUCs of 0.820, 0.712, and 0.671. Support vector machine approaches were significantly lower. The upper bound of deep learning performance was approximated as 0.832. Myelopathy, age, human immunodeficiency virus, previous myocardial infarctions, obesity, and documentary weakness were found to be the strongest variable to predict 90-day postoperative complications.
CONCLUSIONS: The deep neural network may be used to predict complications for clinical applications after multicenter validation. The results suggest limited added knowledge exists in interactions between the input variables used for this task. Future work should identify novel variables to increase predictive power.",0.1714559932445997,other,"logistic regression, Logistic regression, Support vector machine"
36140424,Deep Learning for Bone Mineral Density and T-Score Prediction from Chest X-rays: A Multicenter Study,"Sato Y, Yamamoto N, Inagaki N, Iesaki Y, Asamoto T, Suzuki T, Takahara S.",Biomedicines. 2022 Sep 19;10(9):2323. doi: 10.3390/biomedicines10092323.,Sato Y,Biomedicines,2022,2022/09/23,PMC9496220,,10.3390/biomedicines10092323,"Although the number of patients with osteoporosis is increasing worldwide, diagnosis and treatment are presently inadequate. In this study, we developed a deep learning model to predict bone mineral density (BMD) and T-score from chest X-rays, which are one of the most common, easily accessible, and low-cost medical imaging examination methods. The dataset used in this study contained patients who underwent dual-energy X-ray absorptiometry (DXA) and chest radiography at six hospitals between 2010 and 2021. We trained the deep learning model through ensemble learning of chest X-rays, age, and sex to predict BMD using regression and T-score for multiclass classification. We assessed the following two metrics to evaluate the performance of the deep learning model: (1) correlation between the predicted and true BMDs and (2) consistency in the T-score between the predicted class and true class. The correlation coefficients for BMD prediction were hip = 0.75 and lumbar spine = 0.63. The areas under the curves for the T-score predictions of normal, osteopenia, and osteoporosis diagnoses were 0.89, 0.70, and 0.84, respectively. These results suggest that the proposed deep learning model may be suitable for screening patients with osteoporosis by predicting BMD and T-score from chest X-rays.",0.21875044866084695,other,Unknown
36131030,A self-training deep neural network for early prediction of cognitive deficits in very preterm infants using brain functional connectome data,"Ali R, Li H, Dillman JR, Altaye M, Wang H, Parikh NA, He L.",Pediatr Radiol. 2022 Oct;52(11):2227-2240. doi: 10.1007/s00247-022-05510-8. Epub 2022 Sep 22.,Ali R,Pediatr Radiol,2022,2022/09/21,PMC9574648,NIHMS1838645,10.1007/s00247-022-05510-8,"BACKGROUND: Deep learning has been employed using brain functional connectome data for evaluating the risk of cognitive deficits in very preterm infants. Although promising, training these deep learning models typically requires a large amount of labeled data, and labeled medical data are often very difficult and expensive to obtain.
OBJECTIVE: This study aimed to develop a self-training deep neural network (DNN) model for early prediction of cognitive deficits at 2 years of corrected age in very preterm infants (gestational age ≤32 weeks) using both labeled and unlabeled brain functional connectome data.
MATERIALS AND METHODS: We collected brain functional connectome data from 343 very preterm infants at a mean (standard deviation) postmenstrual age of 42.7 (2.5) weeks, among whom 103 children had a cognitive assessment at 2 years (i.e. labeled data), and the remaining 240 children had not received 2-year assessments at the time this study was conducted (i.e. unlabeled data). To develop a self-training DNN model, we built an initial student model using labeled brain functional connectome data. Then, we applied the trained model as a teacher model to generate pseudo-labels for unlabeled brain functional connectome data. Next, we combined labeled and pseudo-labeled data to train a new student model. We iterated this procedure to obtain the best student model for the early prediction task in very preterm infants.
RESULTS: In our cross-validation experiments, the proposed self-training DNN model achieved an accuracy of 71.0%, a specificity of 71.5%, a sensitivity of 70.4% and an area under the curve of 0.75, significantly outperforming transfer learning models through pre-training approaches.
CONCLUSION: We report the first self-training prognostic study in very preterm infants, efficiently utilizing a small amount of labeled data with a larger share of unlabeled data to aid the model training. The proposed technique is expected to facilitate deep learning with insufficient training data.",0.12075376577893218,other,Unknown
36115938,AbdomenNet: deep neural network for abdominal organ segmentation in epidemiologic imaging studies,"Rickmann AM, Senapati J, Kovalenko O, Peters A, Bamberg F, Wachinger C.",BMC Med Imaging. 2022 Sep 17;22(1):168. doi: 10.1186/s12880-022-00893-4.,Rickmann AM,BMC Med Imaging,2022,2022/09/17,PMC9482195,,10.1186/s12880-022-00893-4,"BACKGROUND: Whole-body imaging has recently been added to large-scale epidemiological studies providing novel opportunities for investigating abdominal organs. However, the segmentation of these organs is required beforehand, which is time consuming, particularly on such a large scale.
METHODS: We introduce AbdomentNet, a deep neural network for the automated segmentation of abdominal organs on two-point Dixon MRI scans. A pre-processing pipeline enables to process MRI scans from different imaging studies, namely the German National Cohort, UK Biobank, and Kohorte im Raum Augsburg. We chose a total of 61 MRI scans across the three studies for training an ensemble of segmentation networks, which segment eight abdominal organs. Our network presents a novel combination of octave convolutions and squeeze and excitation layers, as well as training with stochastic weight averaging.
RESULTS: Our experiments demonstrate that it is beneficial to combine data from different imaging studies to train deep neural networks in contrast to training separate networks. Combining the water and opposed-phase contrasts of the Dixon sequence as input channels, yields the highest segmentation accuracy, compared to single contrast inputs. The mean Dice similarity coefficient is above 0.9 for larger organs liver, spleen, and kidneys, and 0.71 and 0.74 for gallbladder and pancreas, respectively.
CONCLUSIONS: Our fully automated pipeline provides high-quality segmentations of abdominal organs across population studies. In contrast, a network that is only trained on a single dataset does not generalize well to other datasets.",0.10468051479929827,computer vision,Unknown
36072795,"Deep learning models for predicting the survival of patients with chondrosarcoma based on a surveillance, epidemiology, and end results analysis","Yan L, Gao N, Ai F, Zhao Y, Kang Y, Chen J, Weng Y.",Front Oncol. 2022 Aug 22;12:967758. doi: 10.3389/fonc.2022.967758. eCollection 2022.,Yan L,Front Oncol,2022,2022/09/08,PMC9442032,,10.3389/fonc.2022.967758,"BACKGROUND: Accurate prediction of prognosis is critical for therapeutic decisions in chondrosarcoma patients. Several prognostic models have been created utilizing multivariate Cox regression or binary classification-based machine learning approaches to predict the 3- and 5-year survival of patients with chondrosarcoma, but few studies have investigated the results of combining deep learning with time-to-event prediction. Compared with simplifying the prediction as a binary classification problem, modeling the probability of an event as a function of time by combining it with deep learning can provide better accuracy and flexibility.
MATERIALS AND METHODS: Patients with the diagnosis of chondrosarcoma between 2000 and 2018 were extracted from the Surveillance, Epidemiology, and End Results (SEER) registry. Three algorithms-two based on neural networks (DeepSurv, neural multi-task logistic regression [NMTLR]) and one on ensemble learning (random survival forest [RSF])-were selected for training. Meanwhile, a multivariate Cox proportional hazards (CoxPH) model was also constructed for comparison. The dataset was randomly divided into training and testing datasets at a ratio of 7:3. Hyperparameter tuning was conducted through a 1000-repeated random search with 5-fold cross-validation on the training dataset. The model performance was assessed using the concordance index (C-index), Brier score, and Integrated Brier Score (IBS). The accuracy of predicting 1-, 3-, 5- and 10-year survival was evaluated using receiver operating characteristic curves (ROC), calibration curves, and the area under the ROC curves (AUC).
RESULTS: A total of 3145 patients were finally enrolled in our study. The mean age at diagnosis was 52 ± 18 years, 1662 of the 3145 patients were male (53%), and mean survival time was 83 ± 67 months. Two deep learning models outperformed the RSF and classical CoxPH models, with the C-index on test datasets achieving values of 0.832 (DeepSurv) and 0.821 (NMTLR). The DeepSurv model produced better accuracy and calibrated survival estimates in predicting 1-, 3- 5- and 10-year survival (AUC:0.895-0.937). We deployed the DeepSurv model as a web application for use in clinical practice; it can be accessed through https://share.streamlit.io/whuh-ml/chondrosarcoma/Predict/app.py.
CONCLUSIONS: Time-to-event prediction models based on deep learning algorithms are successful in predicting chondrosarcoma prognosis, with DeepSurv producing the best discriminative performance and calibration.",0.1583358317628314,other,Unknown
36063688,A novel approach for COVID-19 Infection forecasting based on multi-source deep transfer learning,"Garg S, Kumar S, Muhuri PK.",Comput Biol Med. 2022 Oct;149:105915. doi: 10.1016/j.compbiomed.2022.105915. Epub 2022 Aug 5.,Garg S,Comput Biol Med,2022,2022/09/05,PMC9354391,,10.1016/j.compbiomed.2022.105915,"COVID-19 is a contagious disease; so, predicting its future infections in a provincial region requires the consideration of the related data (i.e., rates of infection, mortality and recovery, etc.) over a period of time. Clearly, the COVID-19 data of a particular provincial region can be easily modelled as a time-series. However, predicting the future COVID-19 infections in a particular region is quite challenging when the availability of COVID-19 dataset of the province is of little quantity. Accordingly, ML models when deployed for such tasks usually results in low infection prediction accuracy. To overcome such issues of low variance and high bias in a model due to data scarcity, multi-source transfer learning (MSTL) along with deep learning may be quite useful and effective. Therefore, this paper proposes a novel technique based on multi-source deep transfer learning (MSDTL) to efficiently forecast the future COVID-19 infections in the provinces with insufficient COVID-19 data. The proposed approach is a novel contribution as it considers the fact that future COVID-19 transmission in a region also depends on its population density and economic conditions (GDP) for accurate forecasting of the infections to tackle the pandemic efficiently. The importance of this feature selection is experimentally proved in this paper. Our proposed approach employs the well-known recurrent neural network architecture, the Long-short term memory (LSTM), a popular deep-learning model for history-dependent tasks. A comparative analysis has been performed with existing state-of-art algorithms to portray the efficiency of LSTM. Thus, formation of MSDTL approach enhances the predictive precision capability of the LSTM. We evaluate the proposed methodology over the COVID-19 dataset from sixty-two provinces belonging to different nations. We then empirically evaluate the performance of the proposed approach using two different evaluation metrics, viz. The mean absolute percentage error and the coefficient of determination. We show that our proposed MSDTL based approach is better in terms of the accuracy of the future infection prediction, and produces improvements up to 96% over its without-TL counterpart.",0.12232697994997781,other,LSTM
